iter	Passed	Remaining
1460	60320	558986
1461	60381	559126
1462	60427	559126
1463	60475	559153
1464	60514	559084
1465	60560	559093
1466	60600	559032
1467	60638	558969
1468	60676	558897
1469	60717	558847
1470	60756	558783
1471	60797	558742
1472	60837	558688
1473	60876	558626
1474	60914	558553
1475	60933	558305
1476	60972	558242
1477	60998	558062
1478	61057	558190
1479	61097	558136
1480	61136	558070
1481	61177	558026
1482	61216	557966
1483	61256	557915
1484	61299	557890
1485	61339	557834
1486	61359	557596
1487	61397	557533
1488	61436	557468
1489	61475	557407
1490	61515	557349
1491	61554	557293
1492	61587	557175
1493	61625	557107
1494	61664	557041
1495	61707	557020
1496	61747	556968
1497	61788	556921
1498	61827	556861
1499	61868	556818
1500	61907	556752
1501	61944	556679
1502	61984	556621
1503	62023	556564
1504	62062	556498
1505	62100	556431
1506	62139	556369
1507	62180	556327
1508	62243	556481
1509	62288	556473
1510	62327	556410
1511	62367	556360
1512	62405	556284
1513	62443	556219
1514	62485	556181
1515	62524	556119
1516	62561	556045
1517	62600	555981
1518	62639	555916
1519	62677	555847
1520	62717	555799
1521	62759	555767
1522	62798	555704
1523	62837	555642
1524	62895	555750
1525	62939	555731
1526	62987	555748
1527	63030	555720
1528	63068	555655
1529	63112	555635
1530	63171	555756
1531	63217	555751
1532	63256	555688
1533	63300	555671
1534	63337	555591
1535	63374	555519
1536	63416	555486
1537	63456	555433
1538	63492	555345
1539	63531	555280
1540	63569	555213
1541	63612	555186
1542	63653	555139
1543	63672	554904
1544	63722	554942
1545	63762	554890
1546	63806	554874
1547	63846	554821
1548	63886	554768
1549	63924	554698
1550	63964	554645
1551	64002	554580
1552	64050	554599
1553	64091	554552
1554	64140	554581
1555	64180	554525
1556	64219	554462
1557	64258	554407
1558	64300	554373
1559	64341	554323
1560	64379	554253
1561	64420	554216
1562	64459	554155
1563	64500	554106
1564	64539	554052
1565	64578	553987
1566	64634	554076
1567	64672	554008
1568	64712	553956
1569	64753	553909
1570	64791	553838
1571	64831	553789
1572	64874	553766
1573	64935	553889
1574	64975	553837
1575	65013	553772
1576	65052	553711
1577	65091	553653
1578	65144	553705
1579	65185	553662
1580	65240	553740
1581	65279	553676
1582	65321	553645
1583	65367	553645
1584	65411	553627
1585	65453	553591
1586	65490	553512
1587	65529	553451
1588	65555	553280
1589	65592	553201
1590	65632	553149
1591	65672	553097
1592	65712	553045
1593	65752	552996
1594	65791	552935
1595	65833	552898
1596	65890	552993
1597	65929	552935
1598	65968	552871
1599	66007	552815
1600	66047	552759
1601	66087	552713
1602	66125	552644
1603	66166	552593
1604	66204	552530
1605	66244	552474
1606	66277	552369
1607	66336	552473
1608	66376	552424
1609	66415	552363
1610	66447	552243
1611	66486	552182
1612	66531	552174
1613	66570	552112
1614	66633	552254
